                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),     metrics/IOU(pixel),      metrics/PA(pixel),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.00544,                0.01318,                0.43667,                 1.0327,                0.51604,                 0.3914,                0.39531,                0.23112,                0.47451,                 0.2821,                0.28405,                0.12983,                0.09599,                0.40831,                0.00534,                0.01302,                0.42405,                 1.0297,             0.00038318,             0.00038318,             0.00038318
                      2,                0.00541,                  0.013,                0.41219,                 1.0288,                0.63191,                0.34403,                 0.4119,                0.24029,                0.56728,                0.25494,                 0.2901,                0.13418,                0.10638,                0.41471,                0.00546,                 0.0132,                 0.4263,                 1.0437,             0.00076787,             0.00076787,             0.00076787
                      3,                0.00556,                0.01319,                 0.4308,                 1.0359,                0.48648,                0.36945,                0.37261,                0.21639,                0.44057,                0.24231,                0.24371,                 0.1146,                0.09204,                0.40972,                0.00548,                0.01343,                0.42783,                 1.0517,             0.00081834,             0.00081834,             0.00081834
                      4,                0.00549,                0.01298,                0.41828,                 1.0316,                0.55694,                0.39727,                0.41654,                0.24207,                 0.4871,                0.28684,                 0.2949,                 0.1427,                0.11573,                0.42223,                0.00544,                0.01321,                0.41827,                 1.0429,             0.00081834,             0.00081834,             0.00081834
                      5,                0.00547,                0.01302,                0.41978,                 1.0329,                0.51303,                0.33969,                0.38002,                0.21804,                0.42209,                0.25333,                0.25696,                0.11682,                 0.1132,                0.41929,                0.00551,                0.01355,                0.43507,                   1.05,             0.00081101,             0.00081101,             0.00081101
                      6,                0.00552,                0.01314,                0.42228,                 1.0349,                0.55412,                0.34455,                0.38892,                0.22391,                0.41142,                0.24289,                0.25614,                0.11706,                0.12094,                0.42342,                0.00554,                 0.0134,                0.42615,                 1.0476,             0.00080368,             0.00080368,             0.00080368
                      7,                0.00544,                0.01296,                 0.4138,                 1.0291,                0.53567,                0.38042,                0.39385,                0.22462,                0.39754,                0.28821,                0.27031,                0.12742,                0.11113,                 0.4214,                0.00549,                0.01323,                0.41966,                 1.0508,             0.00079635,             0.00079635,             0.00079635
                      8,                0.00546,                0.01299,                0.41526,                 1.0287,                0.52815,                0.37575,                0.38354,                0.22292,                0.40602,                0.28664,                0.26924,                0.12327,                0.08238,                0.41144,                0.00551,                0.01335,                0.42901,                 1.0522,             0.00078902,             0.00078902,             0.00078902
                      9,                0.00542,                0.01286,                0.41427,                 1.0277,                 0.6296,                0.34567,                0.40832,                0.24144,                0.55615,                0.27533,                0.29504,                0.14401,                0.10831,                0.41716,                0.00547,                 0.0133,                0.41655,                 1.0423,             0.00078169,             0.00078169,             0.00078169
